shipping_no_p,shipping_no,product_cd,product_name,confirmed_boxes
20250619N1200191891,20250619N12001,91891,202B,4
20250619N1200192381,20250619N12001,92381,5A45 X1,18
20250619N1200291631,20250619N12002,91631,5A45 FR,16
20250619N1200292381,20250619N12002,92381,5A45 X1,2
20250619N1200391891,20250619N12003,91891,202B,1
20250619N1200392161,20250619N12003,92161,"3V0 FR プレート",8
20250619N1200392391,20250619N12003,92391,5A45 V2,9
20250619N1200490301,20250619N12004,90301,"3X45 対米 FR",8
20250619N1200490311,20250619N12004,90311,"3X45 対米 SIDE",5
20250619N1200491861,20250619N12004,91861,3V0 FR MASS,19
20250619N1200590271,20250619N12005,90271,3X45 CTR,2
20250619N1200590281,20250619N12005,90281,3X45 FR,1
20250619N1200590291,20250619N12005,90291,3X45 SIDE,1
20250619N1200591771,20250619N12005,91771,4X45 21MY,6
20250619N3600191581,20250619N36001,91581,D01L RR,32
20250619N3600291681,20250619N36002,91681,D54L RR,18
